"Date","Mean"
00:00:00 09/12/2001,       0.000
00:00:00 09/13/2001,       0.000
00:00:00 09/14/2001,       0.000
00:00:00 09/15/2001,       0.000
00:00:00 09/16/2001,       0.000
00:00:00 09/17/2001,       0.000
00:00:00 09/18/2001,       0.000
00:00:00 09/19/2001,       0.000
00:00:00 09/20/2001,       0.000
00:00:00 09/21/2001,       0.000
00:00:00 09/22/2001,       0.000
00:00:00 09/23/2001,       0.000
00:00:00 09/24/2001,       0.000
00:00:00 09/25/2001,       0.000
00:00:00 09/26/2001,       0.000
00:00:00 09/27/2001,       0.000
00:00:00 09/28/2001,       0.000
00:00:00 09/29/2001,       0.000
00:00:00 09/30/2001,       0.000
00:00:00 10/01/2001,       0.000
00:00:00 10/02/2001,       0.000
00:00:00 10/03/2001,       0.000
00:00:00 10/04/2001,       0.000
00:00:00 10/05/2001,       0.000
00:00:00 10/06/2001,       0.000
00:00:00 10/07/2001,       0.000
00:00:00 10/08/2001,       0.000
00:00:00 10/09/2001,       0.000
00:00:00 10/10/2001,       0.000
00:00:00 10/11/2001,       0.000
00:00:00 10/12/2001,       0.000
00:00:00 10/13/2001,       0.000
00:00:00 10/14/2001,       0.000
00:00:00 10/15/2001,       0.000
00:00:00 10/16/2001,       0.000
00:00:00 10/17/2001,       0.000
00:00:00 10/18/2001,       0.000
00:00:00 10/19/2001,       0.000
00:00:00 10/20/2001,       0.000
00:00:00 10/21/2001,       0.000
00:00:00 10/22/2001,       0.000
00:00:00 10/23/2001,       0.000
00:00:00 10/24/2001,       0.000
00:00:00 10/25/2001,       0.000
00:00:00 10/26/2001,       0.000
00:00:00 10/27/2001,       0.000
00:00:00 10/28/2001,       0.000
00:00:00 10/29/2001,       0.000
00:00:00 10/30/2001,       0.000
00:00:00 10/31/2001,       0.000
00:00:00 11/01/2001,       0.000
00:00:00 11/02/2001,       0.000
00:00:00 11/03/2001,       0.000
00:00:00 11/04/2001,       0.000
00:00:00 11/05/2001,       0.000
00:00:00 11/06/2001,       0.000
00:00:00 11/07/2001,       0.000
00:00:00 11/08/2001,       0.000
00:00:00 11/09/2001,       0.000
00:00:00 11/10/2001,       0.000
00:00:00 11/11/2001,       0.020
00:00:00 11/12/2001,       0.320
